"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"LLY","Eli Lilly and Company","82.51","$91.04B","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/lly",
"ELLI","Ellie Mae, Inc.","107.53","$3.66B","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/elli",
"EFC","Ellington Financial LLC","16.84","$542.15M","n/a","Finance","Real Estate","http://www.nasdaq.com/symbol/efc",
"EARN","Ellington Residential Mortgage REIT","15.33","$139.98M","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/earn",
"AKO.A","Embotelladora Andina S.A.","n/a","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ako.a",
"AKO.B","Embotelladora Andina S.A.","n/a","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ako.b",
"ERJ","Embraer-Empresa Brasileira de Aeronautica","18.8","$3.45B","n/a","Capital Goods","Aerospace","http://www.nasdaq.com/symbol/erj",
"EME","EMCOR Group, Inc.","66.24","$3.92B","n/a","Capital Goods","Engineering & Construction","http://www.nasdaq.com/symbol/eme",
"EEX","Emerald Expositions Events, Inc.","20.37","$1.47B","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/eex",
"EMES","Emerge Energy Services LP","11.45","$344.32M","n/a","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","http://www.nasdaq.com/symbol/emes",
"EBS","Emergent Biosolutions, Inc.","29.51","$1.21B","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/ebs",
"EMR","Emerson Electric Company","58.94","$38.02B","n/a","Energy","Consumer Electronics/Appliances","http://www.nasdaq.com/symbol/emr",
"ESRT","Empire State Realty Trust, Inc.","20.96","$6.52B","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/esrt",
"EIG","Employers Holdings Inc","40.8","$1.32B","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/eig",
"EDN","Empresa Distribuidora Y Comercializadora Norte S.A. (Edenor)","33.58","$1.52B","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/edn",
"ENBL","Enable Midstream Partners, LP","16.36","$7.07B","n/a","Public Utilities","Natural Gas Distribution","http://www.nasdaq.com/symbol/enbl",
"EEQ","Enbridge Energy Management LLC","17.38","$1.46B","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/eeq",
"EEP","Enbridge Energy, L.P.","18.22","$7.95B","n/a","Energy","Natural Gas Distribution","http://www.nasdaq.com/symbol/eep",
"ENB","Enbridge Inc","41.43","$67.89B","n/a","Energy","Natural Gas Distribution","http://www.nasdaq.com/symbol/enb",
"ECA","Encana Corporation","10.96","$10.67B","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/eca",
"EXK","Endeavour Silver Corporation","2.88","$366.07M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/exk",
"ENH^C","Endurance Specialty Holdings Ltd","26.4","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/enh^c",
"NDRO","Enduro Royalty Trust","3.25","$107.25M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/ndro",
"ENIA","Enel Americas S.A.","10.11","$11.62B","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/enia",
"ENIC","Enel Chile S.A.","5.42","$5.32B","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/enic",
"EOCC","Enel Generacion Chile S.A.","24.03","$6.57B","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/eocc",
"EGN","Energen Corporation","52.48","$5.1B","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/egn",
"ENR","Energizer Holdings, Inc.","54.9","$3.39B","n/a","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/enr",
"EPC","Energizer Holdings, Inc.","74.78","$4.29B","n/a","Consumer Non-Durables","Package Goods/Cosmetics","http://www.nasdaq.com/symbol/epc",
"ETE","Energy Transfer Equity, L.P.","17.76","$19.17B","n/a","Public Utilities","Natural Gas Distribution","http://www.nasdaq.com/symbol/ete",
"ETP","Energy Transfer Partners, L.P.","22.71","$7.54B","n/a","Energy","Natural Gas Distribution","http://www.nasdaq.com/symbol/etp",
"ERF","Enerplus Corporation","7.26","$1.76B","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/erf",
"ENS","Enersys","83.96","$3.65B","n/a","Consumer Non-Durables","Telecommunications Equipment","http://www.nasdaq.com/symbol/ens",
"EGL","Engility Holdings, Inc.","29.2","$1.07B","n/a","Consumer Services","Military/Government/Technical","http://www.nasdaq.com/symbol/egl",
"E","ENI S.p.A.","32.28","$58.66B","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/e",
"ENLK","EnLink Midstream Partners, LP","17.25","$5.91B","n/a","Public Utilities","Natural Gas Distribution","http://www.nasdaq.com/symbol/enlk",
"ENLC","EnLink Midstream, LLC","17.7","$3.19B","n/a","Public Utilities","Natural Gas Distribution","http://www.nasdaq.com/symbol/enlc",
"EBF","Ennis, Inc.","17.5","$447.56M","n/a","Consumer Services","Office Equipment/Supplies/Services","http://www.nasdaq.com/symbol/ebf",
"ENVA","Enova International, Inc.","14.05","$470.51M","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/enva",
"NPO","EnPro Industries","72.97","$1.56B","n/a","Basic Industries","Metal Fabrications","http://www.nasdaq.com/symbol/npo",
"ESV","ENSCO plc","7.86","$2.39B","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/esv",
"ETM","Entercom Communications Corporation","10.95","$444.32M","n/a","Consumer Services","Broadcasting","http://www.nasdaq.com/symbol/etm",
"EAB","Entergy Arkansas, Inc.","24.85","n/a","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/eab",
"EAE","Entergy Arkansas, Inc.","24.57","n/a","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/eae",
"EAI","Entergy Arkansas, Inc.","23.24","n/a","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/eai",
"ETR","Entergy Corporation","77.36","$13.94B","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/etr",
"ELC","Entergy Louisiana, Inc.","23.07","n/a","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/elc",
"ELJ","Entergy Louisiana, Inc.","24.93","n/a","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/elj",
"ELU","Entergy Louisiana, Inc.","24.21","n/a","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/elu",
"EMP","Entergy Mississippi, Inc.","23.07","n/a","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/emp",
"ENJ","Entergy New Orleans, Inc.","24.8636","n/a","n/a","Public Utilities","Power Generation","http://www.nasdaq.com/symbol/enj",
"ENO","Entergy New Orleans, Inc.","25.62","n/a","n/a","Public Utilities","Power Generation","http://www.nasdaq.com/symbol/eno",
"EZT","Entergy Texas Inc","26.4605","n/a","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/ezt",
"EPD","Enterprise Products Partners L.P.","26.92","$57.06B","n/a","Public Utilities","Natural Gas Distribution","http://www.nasdaq.com/symbol/epd",
"EVC","Entravision Communications Corporation","5.7","$514.94M","n/a","Consumer Services","Broadcasting","http://www.nasdaq.com/symbol/evc",
"ENV","Envestnet, Inc","35.5","$1.55B","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/env",
"EVHC","Envision Healthcare Corporation","57.55","$6.76B","n/a","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/evhc",
"EVHC^","Envision Healthcare Corporation","106.59","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/evhc^",
"EVA","Enviva Partners, LP","28.35","$745.55M","n/a","Basic Industries","Forest Products","http://www.nasdaq.com/symbol/eva",
"ENZ","Enzo Biochem, Inc.","8.83","$408.76M","n/a","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/enz",
"EOG","EOG Resources, Inc.","90.88","$52.45B","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/eog",
"EPE","EP Energy Corporation","4.41","$1.11B","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/epe",
"EPAM","EPAM Systems, Inc.","80.46","$4.16B","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/epam",
